id,current_ua,ambient_c,humidity_pct,body_temp_c,sample_ph,hours
1,1057.535,30.4,12.8,32.8,8.83,44.94
2,979.105,19.8,82.6,31.1,7.0,114.09
3,1022.691,5.1,78.2,33.4,6.73,87.84
4,1087.628,37.9,70.9,39.1,6.83,71.84
5,1071.334,29.5,3.6,30.7,5.84,18.72
6,1034.48,-4.4,30.3,28.0,6.47,18.72
7,1107.294,44.2,26.3,37.1,6.48,6.97
8,1082.538,38.5,36.0,39.0,5.21,103.94
9,1075.426,46.7,8.8,26.7,8.07,72.13
10,987.034,32.2,93.7,29.1,6.67,84.97
11,1058.247,24.9,55.4,27.4,8.29,2.47
12,1027.803,12.2,30.6,30.9,8.4,116.39
13,1087.21,45.6,39.7,32.7,5.85,99.89
14,1017.91,41.3,44.7,37.7,7.63,25.48
15,935.034,-12.1,60.1,36.1,6.89,21.82
16,1018.32,-13.3,51.6,35.6,8.52,22.01
17,1013.297,9.5,91.9,31.0,5.86,36.51
18,1090.106,37.7,49.7,39.3,7.71,62.97
19,1083.507,49.2,99.2,33.0,7.43,51.83
20,991.091,-5.2,85.1,41.6,6.18,34.95
21,1076.463,23.6,20.9,35.8,5.55,73.42
22,994.727,9.8,93.1,27.1,7.61,16.74
23,1084.3,48.0,11.6,36.5,7.95,35.06
24,1047.843,39.7,81.7,30.5,6.26,43.96
25,1048.535,39.5,38.1,36.7,7.58,54.73
26,1012.704,15.5,87.8,26.2,6.58,94.22
27,1028.003,12.0,86.8,28.0,7.85,23.96
28,984.342,2.8,80.6,39.5,5.8,61.71
29,1029.74,-11.3,79.0,28.9,8.56,71.09
30,1033.048,41.2,30.5,39.2,6.15,5.57
31,1055.631,37.8,8.1,29.7,6.47,72.91
32,1066.16,50.0,40.3,35.9,5.23,20.46
33,1141.287,49.8,17.4,36.8,5.45,7.81
34,1042.517,21.1,69.5,33.7,7.06,113.87
35,1099.527,35.0,34.6,30.2,6.07,115.88
36,1018.254,46.4,97.6,28.6,8.34,97.01
37,1077.848,40.2,64.1,25.6,5.06,36.55
38,1036.197,1.1,82.2,30.2,6.52,11.72
39,1026.356,14.3,13.3,36.1,6.35,82.11
40,1030.171,-6.6,86.2,41.0,5.08,52.82
41,1058.011,47.0,92.3,39.8,5.5,14.64
42,1096.636,24.4,48.7,38.0,6.65,59.42
43,1090.501,-0.1,60.6,38.4,6.97,4.13
44,1032.989,28.7,76.5,36.3,6.62,109.12
45,1023.763,25.2,17.5,29.4,7.12,31.05
46,1070.992,8.3,50.3,40.4,7.38,79.5
47,1049.011,-7.6,39.9,36.4,5.04,37.41
48,1026.574,28.7,14.6,34.5,6.86,62.41
49,1013.967,18.8,36.8,26.9,8.85,65.61
50,1047.35,35.2,6.8,32.6,7.08,22.18
51,976.98,18.8,2.6,32.8,7.71,116.35
52,1030.7,40.4,13.5,39.7,6.25,93.02
53,994.1,20.9,96.3,34.3,8.1,112.74
54,1004.552,21.5,55.0,31.5,8.09,107.38
55,1068.763,42.0,96.6,41.6,7.09,71.75
56,1027.233,11.2,43.2,26.9,8.9,110.62
57,1050.109,-6.3,31.2,32.2,5.5,10.62
58,936.526,-13.1,50.6,25.7,5.07,23.52
59,1096.096,34.1,44.0,37.6,8.08,5.43
60,1033.265,25.3,10.6,40.6,8.23,39.04
61,1049.102,30.8,64.1,29.8,5.48,46.64
62,1023.805,-1.2,21.6,39.6,6.06,32.56
63,943.44,-6.1,62.0,30.0,5.07,99.45
64,990.184,-14.1,65.0,40.5,6.17,42.81
65,1018.678,7.8,15.2,37.8,8.09,33.71
66,1058.164,23.3,6.1,38.7,7.07,65.12
67,1028.19,10.5,78.1,25.3,6.39,16.91
68,1119.833,13.4,46.0,41.4,6.49,96.26
69,1047.68,43.8,5.8,37.4,5.01,8.95
70,990.522,7.6,99.5,30.2,6.2,118.43
71,1005.15,18.4,5.8,39.1,7.59,92.67
72,1037.655,35.9,69.5,29.8,8.9,23.85
73,991.602,10.8,98.4,39.8,8.39,0.66
74,1089.581,25.4,23.9,26.9,5.09,97.86
75,1125.391,41.1,14.2,37.0,8.59,84.82
76,1055.372,46.7,12.1,34.2,8.13,87.48
77,956.237,-5.4,30.3,26.6,8.12,92.55
78,1094.525,45.2,10.1,29.1,6.83,8.89
79,1005.57,17.0,69.2,25.2,6.59,43.02
80,1027.133,1.8,6.2,33.0,6.21,13.9
81,1032.131,14.8,50.9,30.1,5.26,103.57
82,1020.944,48.7,99.7,35.2,5.91,74.8
83,1089.615,17.0,81.4,30.1,5.99,39.71
84,1081.442,6.4,61.5,30.1,6.94,7.63
85,1018.759,26.2,30.6,37.6,7.99,37.32
86,984.308,0.6,62.4,25.8,6.9,39.02
87,993.098,-10.1,52.7,40.3,5.23,87.55
88,1000.899,-6.6,42.6,39.5,8.83,76.51
89,1013.771,-6.7,13.1,36.4,8.77,106.47
90,1070.473,-5.1,88.7,35.1,8.14,56.67
91,981.543,-6.0,45.0,40.2,8.97,14.35
92,1012.165,26.7,19.5,28.2,7.18,85.59
93,938.205,-3.2,36.8,26.3,8.85,91.29
94,982.239,7.5,41.4,29.1,5.3,67.35
95,1071.05,43.3,82.8,38.5,6.46,92.52
96,1097.435,15.8,73.4,25.6,5.9,59.26
97,1026.341,28.4,76.9,34.9,5.78,62.73
98,1001.273,-3.8,1.1,41.9,5.56,51.3
99,993.871,-2.5,41.6,39.5,7.49,3.05
100,1025.332,-12.3,48.1,33.9,8.13,12.95
101,1093.025,-4.0,1.9,26.1,7.31,3.77
102,982.829,3.1,26.0,39.1,5.59,76.37
103,973.262,-3.5,76.0,35.2,8.24,37.72
104,1024.848,-9.2,13.7,27.0,7.54,61.03
105,1013.886,-7.2,53.5,26.6,6.55,108.91
106,1098.064,15.0,21.5,40.5,7.7,29.92
107,1019.437,-1.6,1.2,36.4,6.04,49.25
